sequence,codec,qp,branch,reconstruction,status,kbps,bpp,psnr_y,ssim_y,encode_fps,decode_fps,stage_sum_fps,realtime_speed,error
HoneyBee,hevc,47,low,low_native,ok,133.2,0.0048177083333333336,29.458732134345876,0.8077932604166667,571.5124544783416,561.2951492649347,94.25484718644432,0.7854570598870361,
HoneyBee,hevc,51,low,low_native,ok,82.27,0.0029756221064814814,27.166689869267493,0.7087602604166667,519.0238066185548,586.5071142523917,93.37155369531077,0.7780962807942564,
HoneyBee,av1,24,low,low_native,ok,2032.39,0.07350947627314815,45.13818280050103,0.9922724895833334,34.357107336329896,588.7552710864292,26.39723556800867,0.21997696306673892,
HoneyBee,av1,32,low,low_native,ok,1227.73,0.04440574363425926,43.3833309091367,0.9892830833333334,37.30525260647704,647.2915581644373,28.225486964671646,0.2352123913722637,
HoneyBee,av1,40,low,low_native,ok,760.92,0.02752170138888889,40.85776376928052,0.9822652604166667,40.53952313207645,516.8840303150314,29.691076889494656,0.2474256407457888,
HoneyBee,av1,48,low,low_native,ok,458.81,0.01659469039351852,37.9286155266418,0.9675335416666666,41.15936874690498,662.3682920349265,30.41016985263328,0.25341808210527733,
HoneyBee,av1,54,low,low_native,ok,298.18,0.010784866898148148,35.53262584218636,0.94503078125,43.17085579126699,641.6028136440387,31.4459784107444,0.26204982008953664,
HoneyBee,av1,59,low,low_native,ok,211.58,0.0076526331018518514,33.70451998101502,0.9198992604166666,48.19000877104861,693.1365703391461,34.16221869476836,0.28468515578973635,
HoneyBee,av1,63,low,low_native,ok,144.96,0.0052430555555555555,31.85203731990272,0.88195909375,49.71567478712,615.1041042598102,34.700150890578236,0.28916792408815195,
HoneyBee,mlvc,0,low,low_native,ok,88.86,0.0032139756944444446,26.169617722740384,0.6332829270833333,7.695927468708939,8.301906523122396,3.864417951480627,0.032203482929005225,
HoneyBee,mlvc,12,low,low_native,ok,166.57,0.006024667245370371,30.093046973586887,0.8308941875000001,7.621998591341274,8.370787098463301,3.8619515313174935,0.03218292942764578,
HoneyBee,mlvc,21,low,low_native,ok,266.18,0.009627459490740741,32.88159810076074,0.9073611145833334,7.66912343992318,8.411957081970069,3.8809189111190863,0.03234099092599239,
HoneyBee,mlvc,30,low,low_native,ok,385.33,0.01393699363425926,35.336106694706864,0.9464898958333333,7.695498910880881,8.372728353912377,3.8662226151426786,0.032218521792855656,
HoneyBee,mlvc,39,low,low_native,ok,564.08,0.020402199074074073,37.53169999391713,0.9673918229166666,7.59830533938571,8.40217796205217,3.8606996754766514,0.032172497295638765,
HoneyBee,mlvc,48,low,low_native,ok,785.29,0.028403139467592594,39.43048525910667,0.97841203125,7.692815749775261,8.314350810130598,3.86239738707656,0.03218664489230467,
HoneyBee,mlvc,63,low,low_native,ok,1294.63,0.04682544849537037,41.68672547326238,0.986857375,7.6777141282978745,8.403765235791878,3.8814030980945273,0.032345025817454395,
Jockey,h264,22,low,low_native,ok,7109.37,0.257138671875,39.54010897395085,0.9646640104166666,613.3158068181303,600.5874533527318,96.09327399341647,0.8007772832784706,
Jockey,h264,27,low,low_native,ok,3516.4,0.12718460648148147,36.413325829530415,0.9276354791666667,479.3079655707153,599.889339156149,92.04413569583224,0.7670344641319353,
Jockey,h264,32,low,low_native,ok,1659.32,0.06001591435185185,33.348265929173884,0.876563375,502.2973143249317,727.3916833703005,95.45021563493509,0.7954184636244591,
Jockey,h264,37,low,low_native,ok,877.86,0.031751302083333335,30.474669034220234,0.8274813958333334,629.6976965035426,646.4971977085576,97.60002970621738,0.8133335808851448,
Jockey,h264,42,low,low_native,ok,541.24,0.019576099537037036,26.532294200314674,0.7429921145833333,611.1236575307314,675.5936230001813,97.77515008842708,0.814792917403559,
Jockey,h264,47,low,low_native,ok,327.01,0.01182761863425926,22.89325361033775,0.6411422395833334,626.3108163474906,640.1673440113643,97.37306291565591,0.8114421909637992,
Jockey,h264,51,low,low_native,ok,286.35,0.010356987847222223,23.092211865311608,0.6338147291666667,657.4502235310746,625.6607564151457,97.74812044577384,0.8145676703814486,
Jockey,hevc,22,low,low_native,ok,5621.74,0.2033326099537037,42.47749164121798,0.9777083541666666,504.19806337238964,478.5558023332527,89.4134012296839,0.7451116769140325,
Jockey,hevc,27,low,low_native,ok,2776.48,0.1004224537037037,39.56219359957823,0.9615489583333333,524.3427171578603,623.2849316927523,94.13899963008477,0.7844916635840398,
Jockey,hevc,32,low,low_native,ok,1385.72,0.05012008101851852,36.630406632127965,0.9331709583333333,574.643541271678,557.6235709837302,93.94459880509677,0.7828716567091398,
Jockey,hevc,37,low,low_native,ok,725.74,0.02624927662037037,33.876446448768455,0.8926618645833333,551.1915696655984,532.1149408887821,92.55332366709266,0.7712776972257721,
Jockey,hevc,42,low,low_native,ok,391.36,0.014155092592592592,31.13022365159232,0.8440533229166666,518.0277152390671,582.8572502718309,92.96166420748597,0.7746805350623831,
Jockey,hevc,47,low,low_native,ok,218.46,0.007901475694444444,28.584464590941106,0.7885587604166666,522.9238371174636,662.9403113982228,94.95058852935472,0.7912549044112893,
Jockey,hevc,51,low,low_native,ok,141.62,0.005122251157407408,26.464877623763034,0.7346708958333333,438.6237629364729,543.0004364670491,89.02725562660162,0.7418937968883468,
Jockey,av1,24,low,low_native,ok,5675.18,0.20526548032407407,43.36441923854344,0.98408003125,18.41239323811731,559.4764526673563,15.820364668776687,0.13183637223980574,
Jockey,av1,32,low,low_native,ok,3120.63,0.11287000868055555,40.926367910330164,0.9740735416666667,20.33436120994405,355.41795220027154,16.919767053287842,0.14099805877739868,
Jockey,av1,40,low,low_native,ok,1748.58,0.06324435763888889,38.35423428709221,0.9564199270833332,20.07285787093493,557.259376098917,17.02879803769664,0.14190665031413865,
Jockey,av1,48,low,low_native,ok,953.56,0.034489293981481484,35.65720938398974,0.9256597916666666,23.499611463915222,579.4222637403966,19.458739630725933,0.16215616358938278,
Jockey,av1,54,low,low_native,ok,602.66,0.02179759837962963,33.76141225427648,0.8968085729166666,23.413466334025586,532.9472870423554,19.343160619625923,0.16119300516354937,
Jockey,av1,59,low,low_native,ok,400.75,0.014494719328703705,32.086956626286266,0.8681489791666667,25.189962849588618,685.1044986727773,20.71722165488625,0.17264351379071874,
Jockey,av1,63,low,low_native,ok,247.47,0.008950737847222221,29.91107179991348,0.83088878125,27.602175572080945,628.1988655073579,22.255893560270614,0.18546577966892178,
Jockey,mlvc,0,low,low_native,ok,92.71,0.003353226273148148,26.04370340961509,0.7282120729166667,7.535433634687123,8.323970018112904,3.8274383162147587,0.031895319301789654,
Jockey,mlvc,12,low,low_native,ok,168.22,0.006084346064814815,28.58720748451271,0.79150671875,7.6318187851590045,8.319163050876922,3.8511886371343866,0.032093238642786556,
Jockey,mlvc,21,low,low_native,ok,269.1,0.009733072916666667,30.54857846219211,0.8310338125,7.679328549612963,8.3987819836527,3.863144045757136,0.03219286704797613,
Jockey,mlvc,30,low,low_native,ok,425.61,0.015393880208333334,32.27324796626224,0.8622368229166667,7.696008625153935,8.374076888323769,3.8791887500781828,0.03232657291731819,
Jockey,mlvc,39,low,low_native,ok,680.76,0.024622395833333335,34.0354171772637,0.8920942395833333,7.672472180311864,8.356121004825281,3.8532264544254957,0.0321102204535458,
Jockey,mlvc,48,low,low_native,ok,1096.14,0.03964626736111111,35.78557804775513,0.9207831145833333,7.683012000696549,8.289703768245662,3.857421568973278,0.03214517974144398,
Jockey,mlvc,63,low,low_native,ok,2517.11,0.09104130497685185,38.608733428770314,0.9554095625,7.649184303354887,8.365875821954807,3.8607322111954465,0.03217276842662872,
